województwo,ogółem,rolnicy/współmałżonkowie,domownicy,stan na dzień
OGÓŁEM,18156,16019,2137,31 marca 2025
dolnośląskie,540,475,65,31 marca 2025
kujawsko-pomorskie,1150,1038,112,31 marca 2025
lubelskie,2450,2264,186,31 marca 2025
lubuskie,277,236,41,31 marca 2025
łódzkie,1379,1221,158,31 marca 2025
małopolskie,2253,1864,389,31 marca 2025
mazowieckie,2025,1883,142,31 marca 2025
opolskie,521,411,110,31 marca 2025
podkarpackie,1042,931,111,31 marca 2025
podlaskie,1520,1332,188,31 marca 2025
pomorskie,619,503,116,31 marca 2025
śląskie,431,375,56,31 marca 2025
świętokrzyskie,1036,956,80,31 marca 2025
warmińsko-mazurskie,751,668,83,31 marca 2025
wielkopolskie,1574,1337,237,31 marca 2025
zachodniopomorskie,588,525,63,31 marca 2025
